timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-09-11,68290.46559000,68691.74440000,67386.30000000,68627.59528500,10336.86000000,10397.60000000,10200.00000000,10387.89000000,43830.25446700,43830.25446700
2020-09-10,67513.73938500,69258.25177500,66532.93839500,68290.53165500,10219.29000000,10483.35000000,10070.83000000,10336.87000000,58253.75375000,58253.75375000
2020-09-09,66901.77929000,68331.02950000,65939.54256500,67513.14480000,10126.66000000,10343.00000000,9981.01000000,10219.20000000,49347.11377600,49347.11377600
2020-09-08,68532.19742500,68958.64700000,65074.02500000,66901.71322500,10373.45000000,10438.00000000,9850.00000000,10126.65000000,73491.87841800,73491.87841800
2020-09-07,67755.53728500,68778.61987500,65239.18750000,68532.13136000,10255.89000000,10410.75000000,9875.00000000,10373.44000000,62620.23067600,62620.23067600
2020-09-06,67166.23748500,68358.38041000,66031.04259000,67757.58530000,10166.69000000,10347.14000000,9994.86000000,10256.20000000,56368.78881500,56368.78881500
2020-09-05,69013.15062500,69802.16492000,64908.86250000,67166.23748500,10446.25000000,10565.68000000,9825.00000000,10166.69000000,90001.60556800,90001.60556800
2020-09-04,66978.61288500,70207.60582500,65242.49075000,69013.15062500,10138.29000000,10627.05000000,9875.50000000,10446.25000000,92733.59911300,92733.59911300
2020-09-03,75238.38951000,75727.66690000,65806.02520000,66995.52552500,11388.54000000,11462.60000000,9960.80000000,10140.85000000,121950.10601500,121950.10601500
2020-09-02,78762.49480500,78977.86670500,73729.20065000,75238.38951000,11921.97000000,11954.57000000,11160.10000000,11388.54000000,87221.84560200,87221.84560200
2020-09-01,76962.48781500,79613.94052500,76073.84750000,78762.49480500,11649.51000000,12050.85000000,11515.00000000,11921.97000000,78148.19366800,78148.19366800
2020-08-31,77369.84460500,77961.78700500,76437.20500000,76962.48781500,11711.17000000,11800.77000000,11570.00000000,11649.51000000,55353.61774400,55353.61774400
2020-08-30,75749.07196000,77421.57350000,75697.27700000,77369.77854000,11465.84000000,11719.00000000,11458.00000000,11711.16000000,43177.87905400,43177.87905400
2020-08-29,76152.46485000,76503.40213000,75426.67476000,75749.07196000,11526.90000000,11580.02000000,11417.04000000,11465.84000000,32973.79920000,32973.79920000
2020-08-28,74854.15547000,76256.51722500,74500.77378500,76152.53091500,11330.38000000,11542.65000000,11276.89000000,11526.91000000,45953.90836500,45953.90836500
2020-08-27,75719.87123000,76583.86930000,73497.31250000,74854.15547000,11461.42000000,11592.20000000,11125.00000000,11330.38000000,63246.03638300,63246.03638300
2020-08-26,74775.14173000,76234.51758000,74283.48600000,75719.93729500,11318.42000000,11539.32000000,11244.00000000,11461.43000000,53998.23123100,53998.23123100
2020-08-25,77614.41723500,77744.30102500,73448.68866000,74775.14173000,11748.19000000,11767.85000000,11117.64000000,11318.42000000,69590.92327200,69590.92327200
2020-08-24,76953.30478000,78121.20185000,76536.89708500,77614.48330000,11648.12000000,11824.90000000,11585.09000000,11748.20000000,46212.39186700,46212.39186700
2020-08-23,77054.97881500,77415.42945500,76068.09984500,76953.37084500,11663.51000000,11718.07000000,11514.13000000,11648.13000000,37900.00469000,37900.00469000
2020-08-22,76181.07099500,77203.55900000,75160.89526500,77051.34524000,11531.23000000,11686.00000000,11376.81000000,11662.96000000,43678.70164600,43678.70164600
2020-08-21,78310.41201000,78472.00700000,75881.00376500,76181.79771000,11853.54000000,11878.00000000,11485.81000000,11531.34000000,64448.30614200,64448.30614200
2020-08-20,77655.31147000,78538.07200000,77084.64200000,78310.47807500,11754.38000000,11888.00000000,11668.00000000,11853.55000000,46085.25435100,46085.25435100
2020-08-19,78915.30315000,79410.65852000,76377.74650000,77656.69883500,11945.10000000,12020.08000000,11561.00000000,11754.59000000,73940.16960600,73940.16960600
2020-08-18,81135.41747500,81839.80250500,78075.15454500,78914.70856500,12281.15000000,12387.77000000,11817.93000000,11945.01000000,75923.83552700,75923.83552700
2020-08-17,78689.95543500,82369.84200000,77757.05157000,81135.28534500,11910.99000000,12468.00000000,11769.78000000,12281.13000000,84734.21154000,84734.21154000
2020-08-16,78302.88060000,78826.90818000,77203.55900000,78690.02150000,11852.40000000,11931.72000000,11686.00000000,11911.00000000,41368.23690600,41368.23690600
